,name,description,image
28,JavaScript 基础课程,课程从什么是 JavaScript 开始，一步步讲解 JavaScript 基础语法、关键特性、JSON、WebAPI 等基础，让你掌握与网页窗口交互的方法以及通过 DOM 进行网页元素的操作，掌握如何编写基础的 JS 代码。最后深入讲解值类型和引用类型、异常、面向对象编程以及函数进阶等高级内容，帮助你掌握并运用 JavaScript 制作复杂高效的网页，达到与用户交互的目的。,https://dn-simplecloud.shiyanlou.com/1548916517593.png
29,CSS 基础课程,课程从最基本的 CSS 概念以及 CSS 运行机制开始，逐步深入，让你学会如何使用 CSS 同时控制多重网页的样式和布局。课程前面几节主要讲解 CSS 基础内容，主要为 CSS 基本样式、CSS 样式化区块、CSS 选择器以及 CSS 排版。在最后一节通过一个综合案例的练习，帮助你巩固基础达到熟练运用的效果。,https://dn-simplecloud.shiyanlou.com/1548126873144.png
30,PHP 编程入门,PHP是一种被广泛应用的开放源代码的多用途脚本语言，它可嵌入到 HTML中，尤其适合 web 开发。实验课程基于《PHP 参考手册》中文版本制作。,https://dn-simplecloud.shiyanlou.com/course/1524713748754_【23】-【PHP编程入门】.png
31,Python 数据分析入门与进阶,在本训练营中，我们将学习怎么样使用 Python 进行数据分析。课程将从数据分析基础开始，一步步深入讲解。从 Python 的基础用法到数据分析的各种算法，并结合各种实例，讲解数据分析过程中的方方面面。,https://dn-simplecloud.shiyanlou.com/1503974195644.png
32,自然语言处理基础入门,自然语言处理，简称：NLP，是指对人们平时日常使用的交流语言进行处理的一项技术。NLP 经过多年的发展，现今可以划分为两部分内容，即：自然语言的理解和自然语言的生成。本次实验将以文本分类为目标，介绍自然语言处理相关的基础操作和应用。,https://dn-simplecloud.shiyanlou.com/course/1542944010138_[1208]-[自然语言处理基础入门]-(3).jpg
33,16 个 PHP 设计模式详解,本课程主要介绍了 16 个设计模式的相关知识，使用 UML 类图形象表示各个类之间的关系，并使用 PHP 实现示例代码。课程内容文字较多，且知识点较为抽象，学习起来有一定的难度。适合作为进阶课程学习。,https://dn-simplecloud.shiyanlou.com/1517278443183.png
34,Python 自动化测试实战,本课程从安装开始，到工作中常用的Selenium语法如元素定位、切换窗口、iframe的定位、手写xpath等，并结合unittest，SMTP发送邮件等使整个项目形成框架，让大家快速入门Selenium，成为自动化测试的一员。,https://dn-simplecloud.shiyanlou.com/1540965522764.png
35,C++ 利用 QT 实现 PDF 阅读器,本课程利用 QT 开发环境来实现一个 PDF 阅读器。主要内容包含了 QT 的基本用法以及图形界面的设计，还有第三方库 poppler 的使用。,https://dn-simplecloud.shiyanlou.com/course/1542251550853_[1186]-[C++利用QT实现PDF阅读器].jpg
36,MySQL  基础课程,本课程实验内容从 SQL 概念开始，在 MySQL 数据库中学习并实践了 SQL 常用语法及约束、索引、视图、SELECT 查询、修改与删除等基本操作。课程包含两部分，基础部分学习 SQL 基本操作实验，进阶部分基于 MySQL 官方参考手册制作，学习 MySQL 的进阶操作。,https://dn-simplecloud.shiyanlou.com/course/1542591694584_【9】-【MySQL基础课程】.png
37,Python 图片转字符画,"本课程用 50 行 Python 代码完成图片转字符画小工具。通过本实验将学习到 Linux 命令行操作，Python 基础，pillow 库的使用，argparse 库的使用。本课程难度简单，属于 Python 中基础课程。
【更多精彩直播】进入实验1小时交流群及时获得最新开播通知（加微信sylmm002接受入群邀请）。",https://dn-simplecloud.shiyanlou.com/course/1542592561365_【370】-【Python图片转字符画】.png
38,C++ 实现 STL 标准库和算法,本课程主要讲解了C++ STL的容器和算法的实现，通过本课程可以快速掌握顺序容器vector、list 和 deque 以及关联容器 set 和 map 等，更有迭代器和算法的讲解。,https://dn-simplecloud.shiyanlou.com/course/1539678114813_[1166]-[C++-实现-STL-库的组件和算法].jpg
39,Java 单元测试实战,Java 单元测试实战，本节课程主要讲解如何使用Junit来进行单元测试，会学习到单元测试的基本概念以及Junit的基本操作。,https://dn-simplecloud.shiyanlou.com/course/1539678059878_[1182]-[Java-单元测试实战].jpg
40,基于 Django 实现 Upwork 众包网站,本训练营使用 Django 框架实现了世界最大的外包网站 Upwork。在实现过程中，将其分为三大应用模块：用户模块，任务模块，私信消息模块。每个模块都严格按照 Django 框架中的 MTV （Model-Template-View） 模式完成。,https://dn-simplecloud.shiyanlou.com/course/1535536996256_【1144】-【基于Django实现Upwork众包网站】.png
41,Python 自动化运维实战,课程内容涉及到运维自动化中常用模块pexpect、paramiko、nmap、fabric，如今企业中使用最多的两大DevOps神器：Ansible和Saltstack，以及运维开发首选的Python Web框架Django。课程会从概念和原理的讲解，到动手写代码实现效果，引导大家熟悉自动化运维的知识，知其然知其所以然。,https://dn-simplecloud.shiyanlou.com/course/1539571973481_1180-Python-自动化运维实战.jpg
42,Pandas 时间序列数据处理,本课程主要讲解利用 Pandas 对数据集进行快速读取、转换、过滤、分析等一系列操作。同样，Pandas 已经被证明为是非常强大的用于处理时间序列数据的工具。重点介绍所有 Pandas 在时间序列数据上的处理方法。,https://dn-simplecloud.shiyanlou.com/1543913883545.png
43,基于TensorFlow实现卷积神经网络,"TensorFlow 是 Google 开发的一款神经网络的 Python 外部的结构包，也是一个采用数据流图来进行数值计算的开源软件库。TensorFlow 让我们可以先绘制计算结构图, 也可以称是一系列可人机交互的计算操作, 然后把编辑好的Python文件转换成更高效的 C++， 并在后端进行计算。",https://dn-simplecloud.shiyanlou.com/1502778396172.png
44,PHP 开发一个MVC框架,在 PHP 开发的世界里，有许许多多优秀的框架帮助开发者快速创建一个 Web 工程，其中 MVC 框架以其简明的逻辑、易维护特性、人性化的开发流程成为框架设计理念的主流。本课程将通过理论与实践相结合的方式为大家呈现一个全方位的 MVC 框架开发流程。,https://dn-simplecloud.shiyanlou.com/course/1541750783599_[1200]-[PHP-开发一个-MVC-框架](1).jpg
45,Struts框架教程,Struts 是Apache软件基金会（ASF）赞助的一个开源项目。通过采用JavaServlet/JSP技术，实现了基于Java EEWeb应用的MVC设计模式的应用框架，是MVC经典设计模式。本次课程详细介绍了 Struts2 框架结构知识，并通过多个基础的 Demo 实例讲解了 Struts2 的用法。,https://dn-simplecloud.shiyanlou.com/course/1542591740014_【32】-【Struts框架教程】.png
46,走进以太坊：从入门到实战,课程从零开始，从最基础的概念开始，从使用层面，一步一步揭开了最流行的区块链平台——以太坊（Ethereum）的神秘面纱。项目中涉及以太坊的基本概念，以太坊客户端的基本使用，使用 Solidity 进行智能合约开发，基于 truffle 的智能合约开发与测试，基于发牌小游戏案例的以太坊 DApp 前端以及合约开发，以及智能合约在真实以太坊环境的部署，内容丰富详实，循序渐进。,https://dn-simplecloud.shiyanlou.com/course/1547702588555_[1229]-[走进以太坊：从入门到实战].png
47,C++ 实现简易 Docker 容器,Docker 的本质是使用 LXC 实现类似虚拟机的功能，进而节省的硬件资源提供给用户更多的计算资源。本项目将 C++ 与 Linux 的 Namespace 及 Control Group 技术相结合，实现一个简易 Docker 容器。,https://dn-simplecloud.shiyanlou.com/course/1542592873707_【608】-【C++实现简易Docker容器】.png
48,Scala 开发二十四点游戏,“算 24 点”是一种数学游戏，正如象棋、围棋一样是一种人们喜闻乐见的娱乐活动。 它始于何年何月已无从考究，但它以自己独具的数学魅力和丰富的内涵正逐渐被越来越多的人们所接受。在本课程中，我们将通过一个算 24 点游戏的形式，进一步巩固 Scala 的基础。你将可以在本课程中学习到数学表达式的穷举方法、全排列算法，以及如何在 Java 中调用 Scala 的代码等。,https://dn-simplecloud.shiyanlou.com/1453875007050.png
49,Scala 开发教程,Scala 是一门多范式的编程语言，类似于 Java 。设计初衷是实现可伸缩的语言、并集成面向对象编程和函数式编程的各种特性。在本课程中，你将可以学习到 Scala 的基础语法、类和对象、基本数据类型、控制语句以及函数等方面的知识，从而更好地来编写 Scala 应用。,https://dn-simplecloud.shiyanlou.com/course/1542592576561_【490】-【Scala开发教程】.png
50,Pandas 百题大冲关,Pandas 是基于 NumPy 的数据处理工具，其提供了高效操作大型数据集所需的函数和方法，是数据分析中必不可少的模块。Pandas 百题大冲关共有 100 道练习题，不仅可以学习 Pandas 的使用，也是复习 Pandas 的必备宝典。,https://dn-simplecloud.shiyanlou.com/1523958570202.png
51,RabbitMQ 消息队列,RabbitMQ是一个由erlang开发的AMQP（Advanced Message Queue ）的开源实现。AMQP 的出现其实也是应了广大人民群众的需求，虽然在同步消息通讯的世界里有很多公开标准。本课程从安装RabiitMQ到简短代码逻辑，让同学们理解其原理和工作方式,https://dn-simplecloud.shiyanlou.com/course/1542593264887_【630】-【RabbitMQ消息队列】.png
52,竞态条件漏洞实验,在本课程中学生将利用竞态条件漏洞获得root权限。除了攻击之外，学生还将学习如何制定保护方案抵御该类攻击。适合对于有Linux 基础的同学进行学习。需要对之前的信息安全课程有了解之后再进行学习。,https://dn-simplecloud.shiyanlou.com/1525930945137.png
53,Python 实现搜索引擎,课程首先会讲解爬虫基础并利用 Python 异步特性实现异步爬虫系统，而后会一步一步地将构建索引、索引压缩、排名算法等步骤讲解清楚并编码实现，最后利用异步 web 框架 sanic 构建后端实现一个完整的垂直搜索引擎站点。,https://dn-simplecloud.shiyanlou.com/course/1544667243709_[1196]-[Python-实现搜索引擎]-.png
54,C语言版 Flappy Bird,Flappy Bird 是之前十分热门的小游戏，后来出现多个衍生版本。本节课程将使用 C 语言来实现一个字符版 Flappy Bird，感受不一样的风采。本课程学习后将会熟悉C语言，以及绘图库ncurses的使用。本课程适合有C语言基础，想做练手项目的同学，可以有效的学习ncurses绘图库的使用，做一些有趣的事情。,https://dn-simplecloud.shiyanlou.com/course/1542592227963_【146】-【C语言版FlappyBird】.png
55,NumPy 使用教程,如果你使用 Python 语言进行科学计算，那么一定会接触到 Numpy。Numpy 是支持 Python 语言的数值计算扩充库，其拥有强大的高维度数组处理与矩阵运算能力。除此之外，Numpy 还内建了大量的函数，方便你快速构建数学模型。,https://dn-simplecloud.shiyanlou.com/1504686177051.png
56,Python 生成个性二维码,二维码已经成为我们日常生活中不可或缺的一部分。在本课程中，就使用 Python 基于MyQR实现生成普通二维码，带图片的艺术二维码，动态二维码。,https://dn-simplecloud.shiyanlou.com/1530236619450.png
57,使用 Python 实现深度神经网络,本课程手把手教你使用 Python 实现一个深度神经网络，让你在实际动手的过程中理解深度学习的一些基本原理，带你真正入门深度学习。,https://dn-simplecloud.shiyanlou.com/1517283041138.png
58,Elgg 系统 CSRF 攻击实验,CSRF 攻击可用于盗取身份，造成盗号、虚拟货币转让、购买商品等跟人隐私及财产安全的威胁。 本实验将对一个有漏洞的Web系统进行 CSRF 攻击。,https://dn-simplecloud.shiyanlou.com/1525931074639.png
59,Linux Capability探索实验,本实验中，学生将感受到linux capability功能在访问控制上的优势，掌握使用Capability达到遵守最小权限原则的目的，并分析linux中基于Capability访问控制的设计。,https://dn-simplecloud.shiyanlou.com/1525940760038.png
